"","lsoa11","samhi_dec","area_population_density_density_number_of_persons_per_hectare_measures_value","imd_score","single_hc"
"5128","E01005267",10,13.2,29.85995,0.29066265060241
"5129","E01005268",9,24.5,20.58302,0.364185110663984
"5130","E01005269",10,24.9,21.56398,0.304700162074554
"5131","E01005270",9,80.8,41.64084,0.253333333333333
"5132","E01005271",5,114.9,28.2762,0.332853025936599
"5133","E01005272",10,37.6,56.69234,0.348344370860927
"5134","E01005273",5,107.1,28.75856,0.301989150090416
"5135","E01005274",8,69.7,42.19971,0.256598240469208
"5136","E01005275",3,112.2,18.8734,0.444987775061125
"5137","E01005276",8,79.6,22.69775,0.309486780715397
"5138","E01005277",2,61.2,10.98721,0.311053984575835
"5139","E01005278",3,79.2,30.32788,0.175600739371534
"5140","E01005279",8,32.5,40.99406,0.269277845777234
"5141","E01005280",6,67,48.19667,0.189393939393939
"5142","E01005281",2,49.2,22.14897,0.53690036900369
"5143","E01005282",4,50.5,35.07304,0.156363636363636
"5144","E01005283",2,95.4,13.95579,0.107843137254902
"5145","E01005284",1,115.8,18.13959,0.460431654676259
"5146","E01005285",9,112.2,46.85756,0.350840336134454
"5147","E01005286",3,75.1,26.89505,0.280487804878049
"5148","E01005287",9,99.4,52.70147,0.28680981595092
"5149","E01005288",5,92.9,35.36695,0.2875
"5150","E01005289",10,63.6,61.34659,0.374414976599064
"5151","E01005290",10,46.2,52.17591,0.333333333333333
"5152","E01005291",10,35.7,59.62378,0.477591036414566
"5153","E01005292",10,48.1,49.71626,0.383620689655172
"5154","E01005293",9,49.9,25.68309,0.245681381957774
"5155","E01005294",9,34.2,20.6001,0.316279069767442
"5156","E01005295",10,27.3,26.85833,0.377224199288256
"5157","E01005296",6,75.9,23.80598,0.254071661237785
"5158","E01005297",8,74.9,32.31467,0.367903930131004
"5159","E01005298",6,101.2,26.77508,0.246489859594384
"5160","E01005299",4,67.5,23.35395,0.206378986866792
"5161","E01005300",4,57,18.86034,0.224489795918367
"5162","E01005301",6,61.8,20.40306,0.321895424836601
"5163","E01005302",9,68.9,35.22192,0.47741935483871
"5164","E01005304",8,86.2,22.27245,0.301369863013699
"5165","E01005305",5,54.7,16.96498,0.211148648648649
"5166","E01005306",3,46.6,13.50958,0.343522561863173
"5167","E01005307",3,72.4,17.21397,0.235783633841886
"5168","E01005308",8,50.8,33.71725,0.2096
"5169","E01005309",5,109.2,25.23856,0.402907580477674
"5170","E01005310",5,119.8,35.49775,0.215889464594128
"5171","E01005311",4,84.3,23.35063,0.216260162601626
"5172","E01005312",5,148.2,34.0688,0.352750809061489
"5173","E01005313",10,52.8,52.52911,0.315533980582524
"5174","E01005314",10,53,47.44042,0.305511811023622
"5175","E01005315",10,41.3,56.0769,0.425174825174825
"5176","E01005316",10,2.3,27.71036,0.336182336182336
"5177","E01005317",10,8.4,48.58589,0.408268733850129
"5178","E01005318",10,30.2,50.33377,0.318414322250639
"5179","E01005319",10,45.6,52.33113,0.295454545454545
"5180","E01005320",9,85.6,48.56513,0.259904912836767
"5181","E01005321",10,21,41.81633,0.36744966442953
"5182","E01005322",10,59.2,62.84591,0.296367112810707
"5183","E01005323",10,50.1,44.3856,0.34621578099839
"5184","E01005324",10,28.1,45.63476,0.28921568627451
"5185","E01005325",10,29.7,65.81449,0.343675417661098
"5186","E01005326",8,134.8,59.41535,0.104693140794224
"5187","E01005327",9,41.4,28.72416,0.298546895640687
"5188","E01005328",10,27.6,53.21906,0.522988505747126
"5189","E01005329",5,50,8.560997,0.230519480519481
"5190","E01005330",5,6.1,17.87648,0.215654952076677
"5191","E01005331",7,67.8,24.2152,0.280314960629921
"5192","E01005332",8,39.8,25.17108,0.317671092951992
"5193","E01005333",4,52.6,7.002643,0.222444889779559
"5194","E01005334",4,51.2,7.25966,0.151571164510166
"5195","E01005335",5,37,10.7194,0.22962962962963
"5196","E01005336",5,42,12.21084,0.233333333333333
"5197","E01005337",6,79.9,32.0267,0.23969465648855
"5198","E01005338",9,42.6,46.24501,0.375
"5199","E01005339",5,8.7,14.36027,0.219015280135823
"5200","E01005340",9,43,40.14709,0.374587458745875
"5201","E01005341",8,57.2,23.25491,0.269102990033223
"5202","E01005342",10,52,46.55326,0.450151057401813
"5203","E01005343",10,97.6,41.10126,0.23400365630713
"5204","E01005344",10,56.8,38.21094,0.349085365853659
"5205","E01005345",7,23.7,14.72195,0.269354838709677
"5206","E01005346",8,37.3,18.54273,0.291803278688525
"5207","E01005347",7,23.2,25.44806,0.237037037037037
"5208","E01005348",10,85.1,43.92128,0.36
"5209","E01005349",2,98.6,62.23454,0.122676579925651
"5210","E01005350",10,40.4,77.0647,0.597573306370071
"5211","E01005351",3,80.9,49.51898,0.167023554603854
"5212","E01005352",9,80.1,55.51593,0.31236442516269
"5213","E01005353",9,50.2,66.40823,0.427701674277017
"5214","E01005354",5,33.5,30.7849,0.208872458410351
"5215","E01005355",8,66,19.6195,0.265079365079365
"5216","E01005356",5,39.5,8.013665,0.1610337972167
"5217","E01005357",2,10.5,8.110527,0.25974025974026
"5218","E01005358",9,62.7,23.70594,0.345578231292517
"5219","E01005359",4,13.8,16.16315,0.306472919418758
"5220","E01005360",6,14.9,21.0401,0.344135802469136
"5221","E01005361",4,28.6,10.32978,0.240384615384615
"5222","E01005362",5,49.4,19.51511,0.254901960784314
"5223","E01005363",7,50.7,23.3792,0.333333333333333
"5224","E01005364",4,68.8,13.22438,0.267983074753174
"5225","E01005365",4,14.1,15.94291,0.269230769230769
"5226","E01005366",10,49.7,29.12794,0.414878397711016
"5227","E01005367",6,7.7,13.13217,0.202797202797203
"5228","E01005368",9,58.7,32.48206,0.367626886145405
"5229","E01005369",10,28.1,38.68832,0.340458015267176
"5230","E01005370",10,35.2,47.46913,0.442577030812325
"5231","E01005371",8,38.8,30.30672,0.268953068592058
"5232","E01005372",8,58.6,31.24705,0.312741312741313
"5233","E01005373",5,63.5,13.0445,0.280078895463511
"5234","E01005374",8,69.8,26.21434,0.2914653784219
"5235","E01005375",5,31.6,12.95696,0.280674846625767
"5236","E01005376",10,29.4,40.29322,0.340501792114695
"5237","E01005377",10,57.6,57.33453,0.230923694779116
"5238","E01005378",8,30.4,36.81586,0.321266968325792
"5239","E01005379",10,72.6,59.96295,0.272189349112426
"5240","E01005380",9,25.4,42.29915,0.189493433395872
"5241","E01005381",10,47.5,43.35343,0.403426791277259
"5242","E01005382",9,51,48.40015,0.321070234113712
"5243","E01005383",9,41.6,42.70968,0.267409470752089
"5244","E01005386",10,6.7,52.78185,0.354632587859425
"5245","E01005387",6,55.3,12.38565,0.297939778129952
"5246","E01005388",8,48.2,16.48819,0.323825503355705
"5247","E01005389",10,28.1,43.53268,0.368638239339752
"5248","E01005390",4,59.1,10.02647,0.206953642384106
"5249","E01005391",4,11.1,21.8302,0.270353302611367
"5250","E01005392",10,48.5,35.86854,0.48109517601043
"5251","E01005393",7,33.2,11.7032,0.251908396946565
"5252","E01005394",5,8.2,10.31073,0.247706422018349
"5253","E01005395",4,43.4,11.84304,0.270491803278689
"5254","E01005396",5,34.2,20.10734,0.222410865874363
"5255","E01005397",8,11.8,15.78339,0.309262166405024
"5256","E01005398",9,28.9,19.05215,0.310975609756098
"5257","E01005399",5,48.8,14.79788,0.28080229226361
"5258","E01005400",10,38.8,38.30062,0.420982735723772
