lsoa11,samhi_dec,area_population_density_density_number_of_persons_per_hectare_measures_value,single_hc,Unemployment Rate
E01000591,1,64.3,0.204615385,6.7
E01000592,1,81.9,0.220952381,7
E01000593,1,118.1,0.161764706,7
E01000594,1,69.9,0.208728653,6.8
E01000595,3,87.8,0.304123711,13.3
E01000596,2,89.3,0.3328125,17.3
E01000599,2,149.5,0.298568507,12.1
E01000600,4,10.1,0.365261814,13.2
E01000601,4,21.6,0.220125786,11.1
E01000602,4,114.9,0.279296875,13.7
E01000603,1,121.1,0.28125,11.7
E01000604,3,104.5,0.222627737,13
E01000605,3,96.9,0.236889693,14.2
E01000606,1,72.6,0.271604938,5.4
E01000607,1,113.2,0.211394303,6.8
E01000608,1,39.9,0.223433243,6.8
E01000609,1,83.8,0.1765625,7.2
E01000610,2,67.7,0.256038647,7.4
E01000611,1,115,0.244493392,9.2
E01000612,1,64.6,0.216890595,5.9
E01000613,1,76.8,0.294209703,7.3
E01000615,1,24.1,0.190053286,7.9
E01000616,1,102.3,0.249146758,7.1
E01000617,1,64.5,0.223484848,6.9
E01000618,1,89.8,0.214,7.8
E01000619,1,77.4,0.122621564,6.8
E01000620,1,39.1,0.18,7
E01000621,1,83.3,0.171206226,7.2
E01000622,1,25.3,0.338050314,9.9
E01000623,1,92.6,0.166358595,7.8
E01000624,1,64.1,0.252525253,5.8
E01000625,2,56.2,0.31059246,7.2
E01000626,5,72.3,0.327118644,14.1
E01000627,2,86.1,0.271056662,11.5
E01000628,2,53.6,0.293838863,10.9
E01000629,1,104.4,0.196694215,6.7
E01000630,1,78.8,0.28515625,9.6
E01000631,1,74.4,0.149425287,5.6
E01000632,1,73.3,0.133211679,6.6
E01000633,1,119.7,0.167870036,7
E01000634,1,139,0.176724138,7.9
E01000635,1,103.9,0.224806202,9.1
E01000636,1,83.3,0.16988417,6.9
E01000637,2,233,0.314465409,9.1
E01000638,2,66,0.306293706,11.3
E01000639,1,181.9,0.318435754,7.5
E01000640,3,172.2,0.311720698,9.1
E01000641,2,180.3,0.283916084,8.6
E01000642,3,129.1,0.373770492,7.5
E01000643,9,37.6,0.364285714,10.9
E01000644,2,158.1,0.285714286,7.5
E01000645,1,17.6,0.186567164,3.2
E01000646,5,46.6,0.377747253,3.6
E01000647,2,63.9,0.223622047,4.1
E01000648,2,46,0.230650155,4
E01000649,2,23.2,0.273901809,3.6
E01000650,3,21.6,0.270666667,4.2
E01000651,3,56,0.350237718,3.8
E01000652,2,28.1,0.239757208,2.6
E01000653,3,31.9,0.269736842,4.2
E01000654,1,12,0.183127572,4.6
E01000655,1,34.8,0.184210526,4.4
E01000656,1,4.1,0.174081238,3.9
E01000657,3,51.6,0.283382789,4.3
E01000658,1,6.3,0.214545455,4.4
E01000659,1,28.7,0.171153846,3.7
E01000661,7,17,0.299552906,11.3
E01000662,5,33.2,0.272058824,7.7
E01000663,3,51,0.298484848,6
E01000664,4,20.3,0.246732026,7.5
E01000665,2,21.8,0.270805812,4.5
E01000666,2,6.1,0.259020619,4
E01000667,2,15.3,0.199356913,3.5
E01000668,1,23.1,0.315484805,3.9
E01000669,1,96.5,0.339189189,5.7
E01000670,2,39.9,0.34837963,5
E01000671,1,50.9,0.383928571,4.5
E01000672,3,46.5,0.32,3
E01000673,3,32.9,0.276190476,4.1
E01000674,4,77.7,0.470074813,4.1
E01000675,5,28.2,0.315942029,4.5
E01000676,5,52.3,0.423787529,7.6
E01000677,2,46.4,0.32875,5.9
E01000678,2,57.1,0.261261261,4.6
E01000679,1,56.2,0.250755287,4.2
E01000680,2,2,0.207430341,2.9
E01000681,2,54.3,0.226299694,3.2
